Designator,Mid X,Mid Y,Rotation,Layer
C1,207.268,-83.45,45,top
C10,202.55,-80.64,90,top
C11,205.805,-83.608,90,top
C12,205.403,-94.859,270,top
C13,199.795,-67.77,180,top
C14,200.74,-73.2325,180,top
C15,204.441,-96.719,90,top
C16,199.213,-97.459,270,top
C17,201.026,-79.955,180,top
C2,198.3,-85.025,90,top
C3,203.65,-80.32,90,top
C4,208.35,-83.79,45,top
C5,197.645,-90.15,180,top
C6,207.83,-85.3,0,top
C7,204.434,-94.853,270,top
C8,209.25,-90.24,315,top
C9,206.65,-81.95,315,top
J1,203.113715,-61.776269,180,top
J2,194.223715,-84.776269,0,bottom
J3,212.003715,-84.776269,0,bottom
J4,203.113715,-108.666269,270,bottom
R1,205.94,-68.05,270,top
R2,201.8,-67.99,270,top
R3,204.8136,-83.353,270,top
R4,203.8136,-83.353,270,top
R5,202.983,-94.679,180,top
R6,207.59,-77.12,180,top
R7,199.183,-79.96,0,top
SW1,207.55,-73.866,270,top
U1,203.113715,-88.776269,90,top
U2,199.77,-81.74,0,top
U3,200.74,-70.47,270,top
Y1,201.833,-96.939,180,top
